 要素番号           1 の要素剛性
   154761.904761905        83333.3333333333       -119047.619047619     
  -35714.2857142857       0.000000000000000E+000  -47619.0476190476     
   83333.3333333333        154761.904761905       -47619.0476190476     
  -35714.2857142857       0.000000000000000E+000  -119047.619047619     
  -119047.619047619       -47619.0476190476        119047.619047619     
  0.000000000000000E+000  0.000000000000000E+000   47619.0476190476     
  -35714.2857142857       -35714.2857142857       0.000000000000000E+000
   35714.2857142857       0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  -47619.0476190476       -119047.619047619        47619.0476190476     
  0.000000000000000E+000  0.000000000000000E+000   119047.619047619     
 要素番号           2 の要素剛性
   154761.904761905        83333.3333333333       -119047.619047619     
  -35714.2857142857       0.000000000000000E+000  -47619.0476190476     
   83333.3333333333        154761.904761905       -47619.0476190476     
  -35714.2857142857       0.000000000000000E+000  -119047.619047619     
  -119047.619047619       -47619.0476190476        119047.619047619     
  0.000000000000000E+000  0.000000000000000E+000   47619.0476190476     
  -35714.2857142857       -35714.2857142857       0.000000000000000E+000
   35714.2857142857       0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  -47619.0476190476       -119047.619047619        47619.0476190476     
  0.000000000000000E+000  0.000000000000000E+000   119047.619047619     
 要素番号           3 の要素剛性
   154761.904761905        83333.3333333333       -119047.619047619     
  -35714.2857142857       0.000000000000000E+000  -47619.0476190476     
   83333.3333333333        154761.904761905       -47619.0476190476     
  -35714.2857142857       0.000000000000000E+000  -119047.619047619     
  -119047.619047619       -47619.0476190476        119047.619047619     
  0.000000000000000E+000  0.000000000000000E+000   47619.0476190476     
  -35714.2857142857       -35714.2857142857       0.000000000000000E+000
   35714.2857142857       0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  -47619.0476190476       -119047.619047619        47619.0476190476     
  0.000000000000000E+000  0.000000000000000E+000   119047.619047619     
 要素番号           4 の要素剛性
   154761.904761905        83333.3333333333       -119047.619047619     
  -35714.2857142857       0.000000000000000E+000  -47619.0476190476     
   83333.3333333333        154761.904761905       -47619.0476190476     
  -35714.2857142857       0.000000000000000E+000  -119047.619047619     
  -119047.619047619       -47619.0476190476        119047.619047619     
  0.000000000000000E+000  0.000000000000000E+000   47619.0476190476     
  -35714.2857142857       -35714.2857142857       0.000000000000000E+000
   35714.2857142857       0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  -47619.0476190476       -119047.619047619        47619.0476190476     
  0.000000000000000E+000  0.000000000000000E+000   119047.619047619     
 要素番号           5 の要素剛性
   154761.904761905        83333.3333333333       -119047.619047619     
  -35714.2857142857       0.000000000000000E+000  -47619.0476190476     
   83333.3333333333        154761.904761905       -47619.0476190476     
  -35714.2857142857       0.000000000000000E+000  -119047.619047619     
  -119047.619047619       -47619.0476190476        119047.619047619     
  0.000000000000000E+000  0.000000000000000E+000   47619.0476190476     
  -35714.2857142857       -35714.2857142857       0.000000000000000E+000
   35714.2857142857       0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  -47619.0476190476       -119047.619047619        47619.0476190476     
  0.000000000000000E+000  0.000000000000000E+000   119047.619047619     
